=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/FR/3p-crawl
Date: 2026-03-27T12:19:16.860Z

--- Summary ---
Total JSON files: 99842
Files with potential popups: 80931
Total potential popups: 120562
  └─ AI-confirmed cookie popups: 41475
      └─ No reject buttons: 15789
          └─ No settings buttons: 12683 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 4730 entries) ---
Count | Button Text
   14 | endgeräteeigenschaften zur identifikation aktiv abfragen
   14 | tout interdire
   14 | seulement les cookies nécessaires
   14 | our privacy policy
   14 | verwendung genauer standortdaten
   14 | save selection
   14 | conditions de confidentialité de google
   14 | acepto
   14 | our 10 partners
   14 | más opciones
   14 | rechazar y suscribirse
   14 | sabonner et refuser les cookies
   14 | liste complète
   14 | aceptar y continuar
   13 | our 26 partners
   13 | hier anmelden
   13 | conditions générales
   13 | politique dutilisation des cookies
   13 | ok, i agree
   13 | login
   13 | learn more...
   13 | our 2 partners
   13 | agree to all
   13 | paramétrer vos choix
   13 | en
   13 | afficher toutes les finalités
   13 | our 4 partners
   13 | je refuse et je mabonne
   13 | fr
   13 | terze parti
   12 | refuser et sabonner
   12 | ses partenaires
   12 | terms conditions
   12 | je comprends
   12 | ok, got it
   12 | terms
   12 | yes, i agree
   12 | accepter les cookies essentiels
   12 | daccord fermer
   12 | liste der partner (lieferanten)
   12 | mehr erfahren
   12 | accedi
   12 | gérer les paramètres
   12 | legal notice
   12 | ok!
   12 | precise geolocation data, and identification through device scanning
   12 | akkoord
   12 | accetta e chiudi
   12 | ignorer
   12 | mehr informationen ...
   12 | fermer ce message
   12 | inicia sesión
   12 | nuestros socios
   11 | digital prisma players
   11 | refuser et sabonner (0,99€) pour une expérience sans pub
   11 | poursuivre sans accepter
   11 | privacy and cookie policy
   11 | accetto
   11 | leave
   11 | préférences des cookies
   11 | gérer mes cookies
   11 | politique de confidentialité et de cookies
   11 | einstellungen oder ablehnen
   11 | nos 1570 partenaires
   11 | change here
   11 | accepter la sélection
   11 | .
   11 | cookies policy.
   11 | informativa sulla privacy
   11 | learn more and customize
   11 | voir les conditions de loffre
   11 | paramètres personnalisés
   11 | finalità pubblicitarie
   11 | aviso legal
   11 | ok, jaccepte
   10 | accept close
   10 | à quoi servent les cookies ?
   10 | partenaires (239)
   10 | accetta tutti
   10 | our 1014 partners
   10 | not accept
   10 | our 13 partners
   10 | további lehetőségek
   10 | refuser sabonner
   10 | nos 254 partenaires
   10 | ок
   10 | entrer
   10 | cookie consent plugin for the eu cookie law
   10 | 177 partenaires
   10 | jetzt abonnieren
   10 | concordo
   10 | third parties
   10 | politique de protection des données personnelles
   10 | enregistrer les préférences
   10 | clear rejeter
   10 | elfogadom
   10 | cookiebeleid
   10 | cookie notice
   10 | accepter nécessaire
