=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/GB/3p-crawl
Date: 2026-03-27T12:16:39.514Z

--- Summary ---
Total JSON files: 99909
Files with potential popups: 80404
Total potential popups: 119532
  └─ AI-confirmed cookie popups: 43161
      └─ No reject buttons: 19592
          └─ No settings buttons: 10259 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 3532 entries) ---
Count | Button Text
    7 | home
    7 | okay, thanks
    7 | share
    7 | i agree!
    7 | im fine with this
    7 | see our privacy policy
    7 | confirm enter
    7 | register
    7 | thats fine
    7 | cookie-einstellungen
    7 | policy
    7 | zgadzam się
    7 | privacy page.
    7 | no thanks!
    7 | personalise
    7 | zaufani partnerzy
    7 | zaufani partnerzy iab
    7 | wirtualna polska
    7 | zaufanych partnerów
    7 | wirtualną polskę
    7 | zustimmen
    7 | paramétrer
    7 | withdraw
    7 | tcs
    7 | 435 partners
    7 | reject go ad-free
    7 | select cookies
    7 | διαφωνω
    6 | hyväksy kaikki
    6 | threads
    6 | meta ai
    6 | ray-ban meta
    6 | meta quest
    6 | meta pay
    6 | facebook lite
    6 | messenger
    6 | română
    6 | lietuvių
    6 | español
    6 | data protection policy
    6 | only the necessary cookies
    6 | overview
    6 | im ok with that
    6 | learn more here
    6 | edit your preferences
    6 | analytics
    6 | drittanbieter
    6 | personalize
    6 | en
    6 | contact us
    6 | cookie consent
    6 | click here.
    6 | accept recommended cookies
    6 | jetzt abonnieren
    6 | iab transparency and consent framework (tcf) (opens in a new window)
    6 | accetta e continua
    6 | aceptar
    6 | se connecter
    6 | 600+ other websites
    6 | what are cookies?
    6 | read details
    6 | privacy cookies
    6 | close message
    6 | privacy and cookies policy
    6 | más información
    6 | data protection
    6 | więcej opcji
    6 | avslå
    6 | godta
    6 | accetta
    6 | odrzuć
    6 | poszczególnych serwisów
    6 | rechazar y pagar
    6 | jaccepte
    6 | politique de cookies
    6 | read more...
    6 | view
    6 | this link
    6 | inicia sesión
    6 | use precise geolocation data
    6 | pannello delle preferenze pubblicitarie
    6 | personnaliser
    6 | log in here
    5 | dont use analytics cookies
    5 | meta store
    5 | video
    5 | more languages…
    5 | français (france)
    5 | create new account
    5 | forgotten password?
    5 | leave site
    5 | reject pay £3.50
    5 | powered by popupsmart
    5 | learn more about our cookie policy
    5 | aceitar e fechar
    5 | only accept essential cookies
    5 | know more
    5 | fine print
    5 | cookies are on
    5 | confirm selection
    5 | cookie privacy policy
    5 | preferenze
    5 | cookie statement
    5 | accetta e chiudi
    5 | informativa sulla privacy
    5 | i do not agree
    5 | política de privacidad
    5 | no, let me choose
    5 | acept
    5 | see more
    5 | accepter alle
    5 | kun nødvendige
    5 | set your preferences here
    5 | more information about cookies
    5 | www.youronlinechoices.eu
    5 | take me to settings
    5 | enter website
    5 | ok, continue
    5 | cookie information
    5 | ok, i am ready
    5 | listă parteneri (furnizori)
    5 | technical
    5 | manage selection
    5 | cookie policy (opens in a new window)
    5 | preview
    5 | buy
    5 | vis detaljer
    5 | accetto
    5 | cookies policy (opens in a new window)
    5 | save my preferences
    5 | our 35 partners
    5 | view partners
    5 | ustawień zaawansowanych
    5 | privacy center
    5 | website privacy statement
    5 | pay to reject faqs
    5 | consenthub
    5 | aviso legal
    5 | agb
    5 | cookie privacy information
    5 | online preferences
    5 | drittanbietern
    5 | find out more or opt out
    5 | select all
    5 | detaljer for informasjons­kapsler
    5 | configuración de cookies
    4 | view more
    4 | choose
    4 | ok to use analytics cookies
    4 | accepter et fermer
    4 | exit website
    4 | more info...
    4 | понятно
    4 | confirm preferences
    4 | skip
    4 | uses cookies to improve your experience
    4 | click to learn more
    4 | einstellungen oder ablehnen
    4 | verwendung genauer standortdaten
    4 | cookie policy here
    4 | accept and hide this message
    4 | disallow cookies
    4 | privacy and cookies
    4 | preferenze cookies
    4 | my account
    4 | 閉じる
    4 | liste der partner (lieferanten)
    4 | check privacy policy
    4 | learn how we and our ad partner google, collect and use data
    4 | view details
    4 | rifiuta e iscriviti
    4 | cookie consent tool
    4 | zezwól na wszystkie
    4 | no, manage settings
    4 | essential only cookies
    4 | politique de confidentialité
    4 | remind me later
    4 | show settings
    4 | functional only
    4 | αποδοχή
    4 | personalised content and content measurement
    4 | use of utiq technology powered by your telecom operator. you can reject for use of utiq by rejecting the utiq purpose.
    4 | third-party content embeds in editorial content
    4 | later
    4 | vreau sa modific setarile individual
    4 | accept toate
    4 | aici
    4 | mai multe detalii
    4 | terima
    4 | polityka prywatności
    4 | dont allow
    4 | our policy
    4 | i wish to set my preference
    4 | information and settings
    4 | aceptar todas las cookies
    4 | close and accept
    4 | configurar cookies
    4 | close gdpr cookie banner
    4 | cookie and privacy policy
    4 | submit
    4 | googles privacy terms
    4 | read cookie policy
    4 | einwilligen und weiter
    4 | tout accepter
    4 | cookiepolitik
    4 | απόρριψη όλων
    4 | i am 18+ — enter
    4 | partnerzy
    4 | accetta tutti i cookie
    4 | συμφωνώ
    4 | auswahl bestätigen
    4 | einverstanden
    4 | hier anmelden
    4 | nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter
    4 | datenschutzerklärung von utiq
    4 | utiq jetzt ablehnen
    4 | unterstützte internetverbindung
    4 | über 600 andere websites
    4 | accepter et continuer
    4 | prisma media
    4 | our 10 partners
    4 | nuestra política de cookies
    4 | rechazar y suscribirse
    4 | accept settings close
    4 | datenschutz-manager
    4 | prihvati i zatvori
    4 | business
    4 | personal
    4 | przejdź do serwisu
    4 | got it, thanks
    4 | sabonner et refuser les cookies
    4 | cancel
    4 | selection of personalised content and content measurement
    4 | create profiles to personalise content
    3 | other options
    3 | manage cookies.
    3 | cookies guide
    3 | reject all except necessary cookies
    3 | données personnelles
    3 | enter here!
    3 | click here to read our terms and conditions
    3 | dostosuj
    3 | ok, got it.
    3 | accessibility statement
    3 | принять
    3 | tilpass
    3 | more detail
    3 | 500+ other websites
    3 | only accept required
    3 | choose what to accept
    3 | view cookies list
