=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/NO/3p-crawl
Date: 2026-03-27T14:43:17.616Z

--- Summary ---
Total JSON files: 99855
Files with potential popups: 77221
Total potential popups: 113516
  └─ AI-confirmed cookie popups: 35108
      └─ No reject buttons: 21897
          └─ No settings buttons: 16600 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 7210 entries) ---
Count | Button Text
   24 | zaakceptuj wszystkie
   23 | administrer tjenester
   23 | detaljar
   23 | okej
   23 | leave
   23 | nei
   23 | våre 1014 partnerne
   23 | cookie innstillinger
   23 | cookie
   23 | accept close
   23 | aksepterer
   23 | accepter alle cookies
   23 | hyväksy kaikki evästeet
   22 | ок
   22 | godta og lukk
   22 | cookie instillinger
   22 | nei, endre valg
   22 | accept and continue
   22 | allow all cookies
   22 | administrer informasjonskapsler
   22 | zezwól na wszystkie
   22 | mer information
   22 | save selection
   22 | dismiss
   22 | ustawienia zaawansowane
   22 | informativa sulla privacy
   21 | jag förstår
   21 | administrer alternativer
   21 | datenschutzhinweise
   21 | scopri di più e personalizza
   21 | privacy notice
   21 | det er greit
   21 | nødvendige
   21 | precise geolocation data, and identification through device scanning
   21 | fagpressen.no.
   21 | συμφωνω
   21 | περισσοτερες επιλογες
   21 | aceptar y continuar
   20 | alle cookies akzeptieren
   20 | jeg aksepterer
   20 | súhlasím
   20 | tillat kun nødvendige
   20 | bruk utvalg
   20 | godta alt
   20 | annonceindstillinger
   20 | aksepter cookies
   20 | configurar
   20 | pay to reject
   20 | szczegóły
   20 | godkänn alla
   20 | więcej opcji
   20 | accedi
   20 | liste over partnere (leverandører)
   20 | analytics storage
   19 | cookie policy.
   19 | akceptuj
   19 | configurar cookies
   19 | les vår personvernerklæring
   19 | mehr erfahren
   19 | más opciones
   19 | vain välttämättömät
   19 | přijmout vše
   19 | dowiedz się więcej
   19 | login
   19 | rechazar y suscribirse
   19 | ↓ 1 tjeneste
   19 | accetta e chiudi
   19 | terms conditions
   18 | avvise
   18 | les mer om disse formålene
   18 | mehr informationen
   18 | berre nødvendige
   18 | bruke begrensede data for å velge innhold
   18 | utvikle og forbedre tjenester
   18 | forstå publikum gjennom statistikk eller kombinasjoner av data fra ulike kilder
   18 | måle innholdsytelse
   18 | bruke begrensede data for å velge annonsering
   18 | se detaljer
   18 | gem indstillinger
   18 | nuestros socios
   18 | cookie-innstillinger
   18 | o plikach cookies
   18 | legal notice
   18 | terze parti
   18 | tietoja
   18 | yksityiskohdat
   18 | suostumus
   18 | les meir
   17 | политикой конфиденциальности
   17 | jag godkänner
   17 | marketing
   17 | liste over cookies
   17 | statistikk
   17 | godta kun nødvendige cookies
   17 | tillat alle informasjonskapsler
   17 | contact
   17 | terms
   17 | personalizza
   17 | infokapsel-erklæring
   17 | lue lisää
   17 | agree to all
   17 | yes, i agree
   17 | acceptera alla cookies
   17 | salli valinta
   17 | tillåt alla cookies
   16 | hyväksyn
   16 | cookie notice
   16 | nutzungsbedingungen
   16 | datenschutz-manager
   16 | zustimmung
   16 | хорошо
   16 | les mer om personvern
   16 | kabul et
   16 | retningslinjene for informasjonskapsler
   16 | povolit vše
   16 | la meg velge
   16 | lær mer
   16 | contentpass faq
   16 | cookieinnstillinger
   16 | change here
   16 | política de privacidade
   16 | διαφωνω
   16 | pokračovať s nevyhnutnými cookies
   16 | les mer.
   16 | personaliser
   16 | ok, aksepter alt
   16 | faq
   15 | tout accepter
   15 | greit
   15 | příjmout
   15 | rozumiem
   15 | tilpass valg
   15 | anpassen
   15 | подробнее
   15 | webbplatser och appar där bonnier news ab tillhandahåller sina tjänster
   15 | más información
   15 | googles personvernerklæring
   15 | no, adjust
   15 | tillat
   15 | vis innstillinger
   15 | velg kategorier
   15 | jag accepterar
   15 | godta informasjonskapsler
   15 | meer informatie
   15 | learn more...
   15 | finalità pubblicitarie
   15 | gestisci le opzioni
   15 | nostri partner
   15 | hier anmelden
   15 | akceptuję i przechodzę do serwisu
   15 | ugradert
   15 | jeg vil velge
   14 | datenschutzhinweisen (pur)
   14 | jeg vil vite mer
   14 | mehr infos
   14 | erklæring om informasjonskapsler
   14 | über cookies
   14 | понятно
   14 | auswahl bestätigen
   14 | cookie einstellungen
   14 | 31 leverandører
   14 | ja
   14 | les mer om vår bruk av informasjonskapsler
   14 | administrer personverninnstillinger
   14 | våre partnere
   14 | pokaż szczegóły
   14 | disagree
   14 | personvern- og cookieerklæring
   14 | jeg samtykker ikke
   14 | godta nødvendige
   14 | visa detaljer
   14 | nastavení cookies
   14 | accept toate
   14 | listă parteneri (furnizori)
   14 | spersonalizuj
   14 | akzeptieren und weiter
   14 | agb
   14 | dostosuj zgody
   14 | hyväksyn kaikki evästeet
   14 | zaufanych partnerów
   14 | vis cookie detaljer
   14 | målretting
   14 | prijať všetko
   14 | werbefrei für 3,99€ monat
   13 | lagre mine preferanser
   13 | accept and close
   13 | no thanks
   13 | informasjonskapselpolicy
   13 | finn ut mer
   13 | zobrazit předvolby
   13 | godkänn alla kakor
   13 | salli vain välttämättömät evästeet
   13 | details anzeigen
   13 | verstanden!
   13 | politique de cookies
   13 | oppdater samtykke
   13 | les mer om våre cookies
   13 | ikke godta
   13 | godkend
   13 | log in
   13 | vreau sa modific setarile individual
   13 | aici
   13 | mai multe detalii
   13 | více informací
   13 | ustawienia prywatności
   13 | more details
   13 | se innstillinger
   13 | read our privacy policy
   13 | innstillinger for cookies
   13 | en
   13 | cookies policy.
   13 | partnerzy
   13 | godta cookies
   13 | aksepter alle cookies
   13 | saznajte više
   13 | login here
   13 | zaufani partnerzy
   13 | zaufani partnerzy iab
   13 | wirtualna polska
   13 | zaufanych partnerów iab
   13 | wirtualną polskę
   13 | personlig tilpasset annonsering, annonseringsmåling, publikumsundersøkelser og tjenesteutvikling
   13 | aviso legal
   13 | cookie-erklæringa
   12 | mehr optionen
   12 | personalize cookies
   12 | aceptar cookies
   12 | zásady cookies
   12 | polityka cookies
   12 | anpassa inställningar
   12 | согласен
   12 | uklassificerede
   12 | funktionelle
   12 | cookiebeleid
   12 | guce
   12 | tietosuoja
   12 | więcej informacji
   12 | forstått!
   12 | liste complète
   12 | ok, forstått
   12 | google
   12 | personvernpolitikk
   12 | privacy and cookie policy
   12 | tillad udvalgte
   12 | rechazar y pagar
   12 | english▼
   12 | przejdź do serwisu
   12 | polityce cookies
   12 | jetzt abonnieren
   12 | sutinku
   12 | inicia sesión
   12 | nuestra política de cookies
   12 | data protection
   12 | prihvati sve
   12 | vain välttämättömät evästeet
   12 | mit contentpass einloggen
   11 | hier einloggen
   11 | administrer tillatelser
   11 | gå til slutten
   11 | erklæring om personvern og informasjonskapsler
   11 | akceptuję wszystkie
   11 | reject pay
   11 | personvern og informasjonskapsler
   11 | tilpasset innhold, produktutvikling og markedsføring utført av aller media
   11 | 35 leverandører
   11 | googles business data responsibility site
   11 | personvernserklæring
   11 | leverandører
   11 | accetta tutti
   11 | learn more and customize
   11 | view our partners
   11 | accepter og luk
   11 | godkänn och stäng
   11 | save
   11 | flere muligheder
   11 | einstellungen ändern
   11 | ich lehne ab
   11 | liste der partner (lieferanten)
   11 | akkoord
   11 | lære mer.
   11 | hyväksyn vain välttämättömät evästeet
   11 | vores 1014 partnere
   11 | sign in
   11 | instillinger
   11 | cookieindstillinger
   11 | data privacy
   11 | häufig gestellten fragen (faq)
   11 | nej tack
   11 | prihvati i zatvori
   11 | akzeptieren wie ausgewählt
   11 | https:developers.google.comanalyticsdevguidescollectionanalyticsjscookie-usage?hl=degtagjs_google_analytics_4_-_cookie_usage
   11 | fortsett uten å godta
   11 | vis formål
   11 | cookies akzeptieren
   11 | aksepter alle informasjonskapsler
   11 | ich stimme zu
   11 | einstellungen oder ablehnen
   11 | les mer om hvordan google bruker dataene dine
   11 | actively scan device characteristics for identification
   10 | privacy cookie policy
   10 | cookie-richtlinie
   10 | statistiske
   10 | allow
   10 | acceptér
   10 | ok, jeg forstår
   10 | αποδοχή όλων
   10 | vores 202 samarbejdspartnere
   10 | retningslinjer for cookies
   10 | our cookie policy
   10 | angi personverninnstillinger individuelt
   10 | hantera inställningar
   10 | info
   10 | voir les conditions de loffre
   10 | cliquant ici
   10 | tilpas indstillinger
   10 | avvis valgfrie
   10 | aceptar todas
   10 | yes
   10 | più opzioni
   10 | www.youronlinechoices.eu
   10 | datenschutzrichtlinie
   10 | socios
   10 | vis mer informasjon
   10 | zaakceptuj tylko niezbędne
   10 | nem fogadom el
   10 | tillåt urval
   10 | i accept cookies
   10 | juridisk merknad
   10 | nastavenia
   10 | se connecter
   10 | ustawienia plików cookie
   10 | muokkaa
   10 | godta avslå innstillinger
   10 | verstanden
   10 | godkjenn alle cookies
   10 | abschnitt einzelheiten
   10 | cookie-policy
   10 | alles akzeptieren
   10 | aksepter utvalg
   10 | log in here
    9 | отклонить
    9 | fine print
    9 | agree close
    9 | nie zgadzam się
    9 | accepter fermer
    9 | vår personvernerklæring
    9 | odmów
    9 | απόρριψη όλων
    9 | accepter et continuer
    9 | sivustoilla
    9 | kumppaneineen (86)
    9 | lær mere
    9 | fortsett uten samtykke
    9 | remind me later
    9 | privacy preferences
    9 | avvis alt
    9 | zobacz preferencje
    9 | zamknij
    9 | patvirtinti visus
    9 | se præferencer
    9 | powered by
    9 | save settings
    9 | avvis alle informasjonskapsler
    9 | accetta e continua
    9 | opt out
    9 | click aquí
    9 | configurar tus preferencias aquí
    9 | luba kõik
    9 | akseptere alle
    9 | polityką prywatności
    9 | leer más
    9 | tillat utvalgte
    9 | einwilligen und weiter
    9 | ustawień zaawansowanych
    9 | les mer om bruk av informasjonskapsler i vår personvernerklæring.
    9 | mehr dazu
    9 | lisää vaihtoehtoja
    9 | tilpass informasjonskapsler
    9 | anzeigeneinstellungen
    9 | auswahl speichern
    9 | få mer informasjon
    9 | einstellungen speichern
    9 | alles accepteren
    9 | accetta tutti i cookie
    9 | här
    9 | odmietnuť
    9 | (skjul denne meldinga)
    9 | rozumím a přijímám
    9 | tilpass dine innstillinger
    9 | se personvernerklæring
    9 | actividades de marketing digital o análisis
    9 | conexión a internet habilitada
    8 | view our 1017 partners
    8 | individuell anpassen
    8 | çerez politikası
    8 | odmítnout vše
    8 | upravit mé předvolby
    8 | afvise
    8 | våre 1570 partnere
    8 | részletek
    8 | adatkezelési tájékoztató
    8 | přijmout
    8 | se vores 427 partnere
    8 | ok, det er greit!
    8 | se våre 427 partnere
    8 | personvernvilkår
    8 | akseptere cookies
    8 | flere innstillinger
    8 | соглашаюсь
    8 | nõustun
    8 | personverninnstillinger
    8 | naszych partnerów reklamowych (1018)
    8 | slapukų nustatymai
    8 | kontakt
    8 | endre instillinger
    8 | aceitar
    8 | persondatapolitik
    8 | third parties
    8 | save preferences
    8 | see details
    8 | saiba mais
    8 | cookiepolitikken
    8 | allen zustimmen
    8 | lagra ocheller få åtkomst till information på en enhet
    8 | beállítások
    8 | tillat informasjonskapsler
    8 | условия
    8 | mukauta
