=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
   27 | generierung einer user-id auf basis ihrer e-mail-adresse
   27 | empfangen und verwenden automatisch gesendeter geräteinformationen zum zweck der identifikation
   27 | cookie optin by olli machts
   27 | abschnitt einzelheiten
   26 | nicht einverstanden
   26 | cookies anpassen
   26 | lassen sie mich wählen
   26 | datenschutzinformation
   26 | anmelden
   25 | cookie-erklärung
   25 | einstellungen übernehmen
   25 | einstellungen bearbeiten
   25 | erfahren sie mehr
   25 | statistik
   25 | exit
   25 | datenschutzrichtlinien
   25 | privacy
   24 | individuell anpassen
   24 | anzeigen ads
   24 | analyse statistiken
   24 | notwendige akzeptieren
   24 | i understand
   24 | no
   24 | verbiete alle cookies
   24 | save
   23 | privatsphäre-einstellungen
   23 | our partners
   23 | ja, ich stimme zu!
   23 | datenschutzerklärung nutzungsbedingungen
   23 | alles auswählen
   23 | alle bestätigen
   23 | no, thanks
   23 | confirm selection
   23 | partners
   23 | accepter
   22 | mehr lesen
   22 | verwendung reduzierter daten zur auswahl von inhalten
   22 | auswählen
   22 | cookie consent plugin for the eu cookie law
   21 | partner anzeigen
   21 | essenziell
   21 | nein danke
   21 | verwendung und weitergabe von nutzerkennungen zu werbezwecken
   21 | erstellung von profilen für personalisierte werbung
   21 | zwecke anzeigen
   21 | daten­schutz­erklärung
   21 | bestätigen
   21 | anzeigeneinstellungen
   20 | datenschutzhinweise (pur)
   20 | use of cookies
   20 | analytics
   20 | social media
   20 | cookie consent banner von real cookie banner
   20 | weitere infos
   20 | nichts akzeptieren
   20 | optionen verwalten
   20 | click here
   20 | jetzt einloggen!
   20 | - impressum
   20 | cookie-policy
   19 | privacy notice
   19 | cookie-informationen
   19 | schliessen
   19 | funktional
   19 | mehr info
   19 | en
   19 | ок
   19 | akzeptieren und fortfahren
   19 | nicht akzeptieren
   19 | powered by sgalinski cookie opt in
   19 | verwendung reduzierter daten zur auswahl von werbeanzeigen
   18 | datenschutz-bestimmungen
   18 | optionen ansehen
   18 | mehr anzeigen
   18 | mehr erfahren und anpassen
   18 | learn more.
   18 | ⓘ alle details
   18 | alles klar!
   18 | deutsch
   18 | details ansehen
   18 | erfahre mehr
   18 | unsere 1014 partner
   18 | verwendung von profilen zur auswahl personalisierter werbung
   17 | privatsphäre
   17 | data protection
   17 | nur ausgewähltes erlauben
   17 | save settings
   17 | entwicklung und verbesserung der angebote
   17 | widerrufsbelehrung
   17 | erstellung von profilen zur personalisierung von inhalten
   16 | okay!
   16 | push-benachrichtigungen kommunikation
   16 | einbindung externer inhalte
   16 | personalisierte anzeigen und inhalte, werbetracking, prüfung utiq-technologie und zugriff auf ihr endgerät
   16 | häufig gestellten fragen (faqs)
   16 | jetzt sichern
   16 | cookie policy.
   16 | personalisierung
   16 | view our 161 partners
   16 | privatsphäre einstellungen
   16 | nicht notwendiges ablehnen
   16 | hier ansehen
   16 | cookies konfigurieren
   16 | agree to all
   16 | purposes
   16 | summary
